fighter,D,L,NC,W,total
landon quinones,0,1,0,0,1
landon quinones ,0,1,0,0,1
lara procopio,0,2,0,1,3
larissa pacheco,0,1,0,0,1
larissa pacheco ,0,1,0,0,1
larry cureton,0,2,0,0,2
laureano staropoli,0,4,0,1,5
laureano staropoli ,0,0,0,1,1
lauren mueller,0,2,0,1,3
lauren mueller ,0,1,0,0,1
lauren murphy,0,4,0,2,6
lauren murphy ,0,2,0,6,8
lavar johnson,0,2,0,2,4
laverne clark,0,1,0,0,1
laverne clark ,0,0,0,4,4
leah letson,0,1,0,1,2
leandro issa,0,2,0,1,3
leandro issa ,0,1,0,1,2
leandro silva,0,4,0,1,5
leandro silva ,0,0,1,2,3
lee murray ,0,0,0,1,1
leigh remedios,0,1,0,0,1
leo kuntz,0,2,0,0,2
leon edwards,0,2,0,4,6
leon edwards ,0,1,1,10,12
leonard garcia,0,3,0,1,4
leonard garcia ,0,4,0,1,5
leonardo guimaraes,0,2,0,0,2
leonardo mafra,0,3,0,0,3
leonardo mafra ,0,0,0,1,1
leonardo morales,0,2,0,0,2
leonardo santos,0,1,0,2,3
leonardo santos ,1,2,0,5,8
lerone murphy,1,0,0,3,4
lerone murphy ,0,0,0,3,3
leslie smith,0,3,0,1,4
leslie smith ,0,0,0,3,3
levan makashvili,1,1,0,1,3
lewis gonzalez,0,1,0,0,1
li jingliang,0,4,0,3,7
li jingliang ,0,3,0,8,11
liana jojua,0,1,0,1,2
liana jojua ,0,2,0,0,2
liang na,0,1,0,0,1
liang na ,0,1,0,0,1
liliya shakirova,0,1,0,0,1
lina lansberg,0,3,0,2,5
lina lansberg ,0,4,0,2,6
lisa ellis,0,2,0,0,2
liudvik sholinian,0,1,0,0,1
liudvik sholinian ,0,1,0,0,1
livinha souza,0,0,0,1,1
livinha souza ,0,3,0,2,5
liz carmouche,0,4,0,0,4
liz carmouche ,0,1,0,5,6
lodune sincaid,0,1,0,0,1
logan clark ,0,0,0,1,1
loik radzhabov,0,1,0,2,3
loik radzhabov ,0,1,0,0,1
loma lookboonmee,0,0,0,1,1
loma lookboonmee ,0,2,0,5,7
lone'er kavanagh ,0,0,0,1,1
loopy godinez,0,4,0,5,9
loopy godinez ,0,1,0,2,3
lorenz larkin,0,2,0,5,7
lorenz larkin ,0,3,0,0,3
louis cosce,0,1,0,0,1
louis cosce ,0,1,0,0,1
louis gaudinot,0,1,1,0,2
louis gaudinot ,0,2,0,1,3
louis smolka,0,2,0,5,7
louis smolka ,0,7,0,3,10
lowell anderson,0,1,0,0,1
luan chagas,1,2,0,0,3
luan chagas ,0,0,0,1,1
luan lacerda,0,1,0,0,1
luan lacerda ,0,1,0,0,1
luana carolina,0,3,0,3,6
luana carolina ,0,0,0,3,3
luana pinheiro,0,0,0,2,2
luana pinheiro ,0,3,0,1,4
luana santos,0,1,0,1,2
luana santos ,0,0,0,2,2
lucas alexander,0,2,0,1,3
lucas almeida,0,2,0,2,4
lucas martins,0,2,0,1,3
lucas martins ,0,1,0,3,4
lucas rocha,0,1,0,0,1
lucie pudilova,0,7,0,3,10
lucie pudilova ,0,1,0,0,1
lucio linhares,0,2,0,0,2
ludovit klein,1,1,0,5,7
ludovit klein ,0,1,0,2,3
luigi fioravanti,0,5,0,0,5
luigi fioravanti ,0,0,0,4,4
luigi vendramini,0,3,0,0,3
luigi vendramini ,0,0,0,1,1
luis henrique,0,2,0,0,2
luis henrique ,0,2,0,2,4
luis pajuelo,0,1,0,0,1
luis pena,0,2,0,1,3
luis pena ,0,1,0,4,5
luis ramos,0,2,0,0,2
luis saldana,1,1,0,0,2
luis saldana ,0,0,0,2,2
luiz cane,0,2,0,0,2
luiz cane ,0,3,0,4,7
luiz dutra,0,1,0,0,1
luiz dutra ,0,1,0,0,1
lukasz brzeski,0,4,0,1,5
lukasz sajewski,0,2,0,0,2
lukasz sajewski ,0,1,0,0,1
luke barnatt,0,1,0,0,1
luke barnatt ,0,2,0,3,5
luke caudillo,0,2,0,0,2
luke cummo,0,4,0,0,4
luke cummo ,0,0,0,3,3
luke jumeau,0,1,0,0,1
luke jumeau ,0,1,0,2,3
luke rockhold,0,4,0,2,6
luke rockhold ,0,1,0,4,5
luke sanders,0,2,0,2,4
luke sanders ,0,3,0,1,4
luke zachrich,0,1,0,0,1
luke zachrich ,0,1,0,1,2
lyman good,0,2,0,1,3
lyman good ,0,1,0,2,3
lyoto machida,0,4,0,1,5
lyoto machida ,0,4,0,15,19
mac danzig,0,6,0,1,7
mac danzig ,0,2,0,4,6
maciej jewtuszko ,0,1,0,0,1
mackens semerzier,0,0,0,1,1
mackens semerzier ,0,1,1,0,2
mackenzie dern,0,2,0,2,4
mackenzie dern ,0,3,0,7,10
macy chiasson,0,2,0,5,7
macy chiasson ,0,1,0,3,4
mads burnell,0,2,0,0,2
mads burnell ,0,0,0,1,1
magnus cedenblad,0,1,0,1,2
magnus cedenblad ,0,1,0,3,4
magomed ankalaev,1,1,0,3,5
magomed ankalaev ,0,0,0,7,7
magomed gadzhiyasulov ,0,0,0,1,1
magomed mustafaev,0,2,0,2,4
magomed mustafaev ,0,0,0,1,1
maheshate ,0,2,0,1,3
maia stevenson ,0,1,0,0,1
maiquel falcao,0,0,0,1,1
mairbek taisumov,0,1,0,0,1
mairbek taisumov ,0,1,0,7,8
mairon santos,0,0,0,1,1
makhmud muradov,0,0,1,2,3
makhmud muradov ,0,2,0,2,4
maki pitolo,0,1,0,1,2
maki pitolo ,0,4,0,0,4
makwan amirkhani,0,4,0,4,8
makwan amirkhani ,0,3,0,3,6
malcolm gordon,0,3,0,1,4
malcolm gordon ,0,2,0,1,3
mallory martin,0,3,0,0,3
mallory martin ,0,0,0,1,1
mana martinez ,0,2,0,2,4
mandy bohm,0,1,0,1,2
mandy bohm ,0,1,0,0,1
manel kape,0,2,0,1,3
manel kape ,0,1,0,4,5
manny bermudez,0,1,0,3,4
manny bermudez ,0,1,0,0,1
manolo zecchini,0,1,0,0,1
manon fiorot,0,0,0,4,4
manon fiorot ,0,0,0,3,3
mansur abdul-malik ,0,0,0,1,1
manuel rodriguez,0,1,0,0,1
manuel torres,0,0,0,1,1
manuel torres ,0,1,0,2,3
manvel gamburyan,0,6,1,1,8
manvel gamburyan ,0,2,0,5,7
mara romero borella,0,5,0,0,5
mara romero borella ,0,0,0,2,2
marc diakiese,0,3,0,3,6
marc diakiese ,0,4,0,5,9
marc-andre barriault,0,5,0,3,8
marc-andre barriault ,0,3,1,2,6
marcel fortuna,0,2,0,1,3
marcelo aguiar,0,1,0,0,1
marcelo golm,0,3,0,0,3
marcelo golm ,0,0,0,1,1
marcelo guimaraes,0,1,0,0,1
marcelo guimaraes ,0,1,0,2,3
marcelo mello ,0,0,0,1,1
marcelo rojo,0,2,0,0,2
marcelo rojo ,0,1,0,0,1
marcin bandel,0,1,0,0,1
marcin bandel ,0,1,0,0,1
marcin held,0,2,0,0,2
marcin held ,0,1,0,1,2
marcin prachnio,0,4,0,3,7
marcin prachnio ,0,2,0,1,3
marcin tybura,0,5,0,5,10
marcin tybura ,0,3,0,8,11
marcin wrzosek,0,1,0,0,1
marcio alexandre junior,0,1,0,0,1
marcio alexandre junior ,0,2,0,0,2
marcio cruz,0,2,0,0,2
marcio cruz ,0,0,0,2,2
marco beltran,0,1,0,1,2
marco beltran ,0,2,0,2,4
marco polo reyes,0,3,0,2,5
marco polo reyes ,0,1,0,2,3
marco ruas,0,2,0,0,2
marco ruas ,0,0,0,4,4
marcos mariano,0,2,0,0,2
marcos rogerio de lima,0,5,0,5,10
marcos rogerio de lima ,0,2,0,6,8
marcos vinicius,0,1,0,0,1
marcos vinicius ,0,1,0,1,2
marcus aurelio,0,4,0,0,4
marcus aurelio ,0,0,0,2,2
marcus bossett,0,2,0,0,2
marcus bossett ,0,0,0,1,1
marcus brimage,0,0,0,2,2
marcus brimage ,0,4,0,2,6
marcus davis,0,6,0,0,6
marcus davis ,0,0,0,9,9
marcus jones,0,1,0,0,1
marcus levesseur,0,1,0,0,1
marcus levesseur ,0,1,0,1,2
marcus mcghee,0,0,0,3,3
marcus mcghee ,0,0,0,1,1
marcus silveira,0,1,1,0,2
maria oliveira,0,3,0,0,3
maria oliveira ,0,0,0,1,1
marina rodriguez,1,2,0,2,5
marina rodriguez ,1,3,0,5,9
mario bautista,0,1,0,5,6
mario bautista ,0,1,0,4,5
mario miranda,0,2,0,1,3
mario miranda ,0,1,0,0,1
mario neto,0,1,0,0,1
marion reneau,1,3,0,3,7
marion reneau ,0,4,0,2,6
mariya agapova,0,2,0,1,3
mariya agapova ,0,2,0,1,3
mark bocek,0,3,0,0,3
mark bocek ,0,2,0,8,10
mark coleman,0,5,0,0,5
mark coleman ,0,0,0,7,7
mark de la rosa,0,4,0,0,4
mark de la rosa ,0,1,0,2,3
mark eddiva,0,2,0,1,3
mark eddiva ,0,1,0,0,1
mark godbeer,0,1,0,1,2
mark godbeer ,0,1,0,1,2
mark hall,0,3,0,0,3
mark hall ,0,0,0,4,4
mark holst,0,2,0,0,2
mark hominick,0,1,0,0,1
mark hominick ,0,3,0,3,6
mark hughes ,0,0,0,1,1
mark hunt,0,4,1,3,8
mark hunt ,1,4,0,5,10
mark kerr ,0,0,0,4,4
mark madsen,0,2,0,2,4
mark madsen ,0,0,0,2,2
mark munoz,0,2,0,4,6
mark munoz ,0,4,0,5,9
mark robinson,0,0,1,0,1
mark scanlon,0,1,0,0,1
mark schultz ,0,0,0,1,1
mark striegl,0,2,0,0,2
mark weir,0,2,0,0,2
mark weir ,0,0,0,1,1
markus perez,0,3,0,0,3
markus perez ,0,2,0,2,4
marlon moraes,0,2,0,3,5
marlon moraes ,0,4,0,2,6
marlon vera,0,7,0,6,13
marlon vera ,0,2,0,9,11
marnic mann,0,1,0,0,1
marnic mann ,0,1,0,0,1
marquel mederos,0,0,0,1,1
martin bravo,0,1,0,0,1
martin bravo ,0,2,0,1,3
martin buday,0,0,0,3,3
martin buday ,0,1,0,2,3
martin day,0,2,0,0,2
martin day ,0,2,0,0,2
martin kampmann,0,6,0,4,10
martin kampmann ,0,0,0,7,7
martin sano,0,1,0,0,1
martin svensson,0,1,0,0,1
marvin eastman,0,4,0,0,4
marvin eastman ,0,0,0,1,1
marvin vettori,0,4,0,5,9
marvin vettori ,1,1,0,4,6
maryna moroz,0,4,0,3,7
maryna moroz ,0,2,0,3,5
masanori kanehara,0,2,0,1,3
masio fullen,0,2,0,0,2
masio fullen ,0,0,0,1,1
mason jones,0,1,1,0,2
mason jones ,0,1,0,1,2
masutatsu yano,0,1,0,0,1
mateus mendonca,0,3,0,0,3
mateusz gamrot,0,1,0,5,6
mateusz gamrot ,0,2,0,2,4
mateusz rebecki,0,1,0,0,1
mateusz rebecki ,0,0,0,3,3
matheus nicolau,0,2,0,5,7
matheus nicolau ,0,2,0,2,4
mats nilsson,0,2,0,0,2
matt andersen,0,1,0,0,1
matt arroyo,0,2,0,0,2
matt arroyo ,0,0,0,1,1
matt bessette ,0,2,0,0,2
matt brown,0,8,0,1,9
matt brown ,0,5,0,16,21
matt dwyer,0,2,0,1,3
matt dwyer ,0,1,0,0,1
matt frevola,0,2,0,2,4
matt frevola ,1,3,0,3,7
matt grice,0,5,0,1,6
matt grice ,0,0,0,1,1
matt hamill,0,4,0,2,6
matt hamill ,0,1,0,8,9
matt hobar,0,2,0,1,3
matt horwich,0,2,0,0,2
matt hughes,0,5,0,0,5
matt hughes ,0,2,0,18,20
matt lindland,0,3,0,0,3
matt lindland ,0,0,0,9,9
matt lucas,0,1,0,0,1
matt mitrione,0,5,0,3,8
matt mitrione ,0,0,0,6,6
matt sayles,0,2,0,1,3
matt sayles ,0,1,0,0,1
matt schnell,0,5,0,2,7
matt schnell ,0,2,1,4,7
matt serra,0,6,0,0,6
matt serra ,0,1,0,7,8
matt van buren,0,1,0,0,1
matt van buren ,0,1,0,0,1
matt veach,0,2,0,0,2
matt veach ,0,0,0,1,1
matt wiman,0,6,0,3,9
matt wiman ,0,2,0,7,9
matthew lopez,0,3,0,2,5
matthew lopez ,0,1,0,0,1
matthew riddle,0,1,2,1,4
matthew riddle ,0,2,0,6,8
matthew semelsberger,0,3,0,2,5
matthew semelsberger ,0,3,0,3,6
maurice greene,0,1,0,1,2
maurice greene ,0,3,0,3,6
maurice smith,0,3,0,0,3
maurice smith ,0,0,0,4,4
mauricio rua,0,2,0,1,3
mauricio rua ,1,10,0,10,21
mauricio ruffy ,0,0,0,2,2
max griffin,0,7,0,5,12
max griffin ,0,2,0,3,5
max holloway,0,5,0,6,11
max holloway ,0,2,0,15,17
max rohskopf,0,1,0,0,1
maxim grishin,0,3,0,2,5
maximo blanco,0,4,0,2,6
maximo blanco ,0,1,0,2,3
maycee barber,0,1,0,5,6
maycee barber ,0,1,0,4,5
mayra bueno silva,1,2,0,2,5
mayra bueno silva ,0,2,0,4,6
megan anderson,0,2,0,1,3
megan anderson ,0,1,0,2,3
mehdi baghdad,0,2,0,0,2
melinda fabian,1,1,0,0,2
melissa dixon,0,0,0,1,1
melissa gatto,0,2,0,3,5
melissa martinez ,0,1,0,1,2
melissa mullins ,0,1,0,1,2
melquizael costa,0,2,0,1,3
melquizael costa ,0,0,0,1,1
melsik baghdasaryan,0,1,0,2,3
melsik baghdasaryan ,0,0,0,1,1
melton bowen,0,1,0,0,1
melvin guillard,0,6,1,1,8
melvin guillard ,0,3,0,11,14
merab dvalishvili,0,1,0,7,8
merab dvalishvili ,0,1,0,4,5
michael bisping,0,6,0,2,8
michael bisping ,0,3,0,18,21
michael chandler,0,4,0,1,5
michael chandler ,0,0,0,1,1
michael chiesa,0,1,0,7,8
michael chiesa ,0,6,0,6,12
michael graves,0,0,0,1,1
michael graves ,1,0,0,1,2
michael johnson,0,6,0,5,11
michael johnson ,0,9,0,10,19
michael kuiper,0,2,0,1,3
michael kuiper ,0,1,0,0,1
michael mcbride,0,2,0,0,2
michael mcdonald,0,2,0,2,4
michael mcdonald ,0,1,0,4,5
michael morales,0,0,0,2,2
michael morales ,0,0,0,3,3
michael page,0,1,0,1,2
michael patt,0,2,0,0,2
michael trizano,0,1,0,1,2
michael trizano ,0,2,0,3,5
michal figlak,0,2,0,0,2
michal oleksiejczuk,0,6,1,6,13
michal oleksiejczuk ,0,1,0,0,1
micheal gillmore,0,2,0,0,2
michel batista,0,1,0,0,1
michel pereira,0,2,0,4,6
michel pereira ,0,1,0,5,6
michel prazeres,0,2,0,3,5
michel prazeres ,0,2,0,7,9
michel quinones,0,2,0,0,2
michelle waterson,0,5,0,3,8
michelle waterson ,0,0,0,3,3
michelle waterson-gomez,0,1,0,0,1
michelle waterson-gomez ,0,3,0,0,3
michihiro omigawa,0,6,0,0,6
michihiro omigawa ,0,0,0,1,1
michinori tanaka,0,2,0,2,4
michinori tanaka ,0,1,0,0,1
mick parkin,0,0,0,1,1
mick parkin ,0,0,0,3,3
mickael lebout,0,2,0,0,2
mickael lebout ,0,0,0,1,1
mickey gall,0,4,0,2,6
mickey gall ,0,3,0,4,7
miesha tate,0,3,0,2,5
miesha tate ,0,3,0,5,8
miguel baeza,0,1,0,1,2
miguel baeza ,0,3,0,2,5
miguel torres ,0,2,0,2,4
mike breeden,0,3,0,0,3
mike brown,0,2,0,0,2
mike brown ,0,2,0,2,4
mike ciesnolevicz,0,1,0,0,1
mike ciesnolevicz ,0,0,0,1,1
mike davis,0,1,0,1,2
mike davis ,0,0,0,3,3
mike de la torre,0,4,0,2,6
mike de la torre ,0,0,1,0,1
mike easton,0,4,0,1,5
mike easton ,0,0,0,2,2
mike grundy,0,2,0,0,2
mike grundy ,0,1,0,1,2
mike guymon,0,2,0,1,3
mike guymon ,0,1,0,0,1
mike jackson,0,1,1,1,3
mike jackson ,0,1,0,0,1
mike king,0,1,0,0,1
mike kyle,0,1,0,0,1
mike kyle ,0,0,0,2,2
mike lullo,0,1,0,0,1
mike lullo ,0,1,0,0,1
mike malott,0,1,0,1,2
mike malott ,0,0,0,3,3
mike massenzio,0,3,0,1,4
mike massenzio ,0,2,0,1,3
mike nickels,0,1,0,0,1
mike nickels ,0,0,0,1,1
mike perry,0,5,0,5,10
mike perry ,0,3,0,2,5
mike pierce,0,5,0,1,6
mike pierce ,0,0,0,8,8
mike pyle,0,4,0,3,7
mike pyle ,0,5,0,7,12
mike rhodes,0,3,0,0,3
mike ricci,0,1,0,0,1
mike ricci ,0,1,0,1,2
mike rio,0,3,0,0,3
mike rio ,0,0,0,1,1
mike rodriguez,0,3,0,2,5
mike rodriguez ,0,2,1,0,3
mike russow,0,1,0,2,3
mike russow ,0,1,0,2,3
mike santiago,0,1,0,0,1
mike santiago ,0,2,0,0,2
mike stumpf,0,1,0,0,1
mike stumpf ,0,1,0,0,1
mike swick,0,3,0,0,3
mike swick ,0,2,0,10,12
mike van arsdale,0,2,0,0,2
mike van arsdale ,0,0,0,2,2
mike wessel,0,1,0,0,1
mike whitehead,0,1,0,0,1
mike wilkinson,0,1,0,2,3
mike wilkinson ,0,1,0,0,1
mikey burnett,0,1,0,0,1
mikey burnett ,0,0,0,2,2
milana dudieva,0,2,0,1,3
miles johns,0,0,0,4,4
miles johns ,0,3,0,3,6
milton vieira,1,1,0,0,2
minoki ichihara,0,1,0,0,1
miranda granger,0,2,0,0,2
miranda granger ,0,1,0,1,2
miranda maverick,0,0,0,4,4
miranda maverick ,0,3,0,4,7
mirko filipovic,0,4,0,1,5
mirko filipovic ,0,2,0,4,6
mirsad bektic,0,1,0,2,3
mirsad bektic ,0,3,0,4,7
misha cirkunov,0,2,0,1,3
misha cirkunov ,0,5,0,5,10
mitch clarke,0,2,0,1,3
mitch clarke ,0,3,0,1,4
mitch gagnon,0,2,0,0,2
mitch gagnon ,0,2,0,4,6
mitch ramirez,0,1,0,0,1
mitch raposo ,0,1,0,0,1
mizuki,0,0,0,1,1
mizuto hirota,0,3,0,1,4
mizuto hirota ,1,2,0,0,3
modestas bukauskas,0,2,0,2,4
modestas bukauskas ,0,2,0,2,4
mohammad yahya ,0,1,0,0,1
mohammed usman ,0,2,0,3,5
molly mccann,0,2,0,1,3
molly mccann ,0,4,0,6,10
montana de la rosa,0,4,0,2,6
montana de la rosa ,1,1,0,4,6
montel jackson,0,2,0,3,5
montel jackson ,0,0,0,5,5
montserrat conejo,0,1,0,1,2
montserrat conejo ruiz,0,2,0,0,2
montserrat rendon,0,0,0,1,1
montserrat rendon ,0,1,0,0,1
morgan charriere ,0,1,0,2,3
mostapha al-turk,0,3,0,0,3
moti horenstein,0,2,0,0,2
motonobu tezuka,0,2,0,0,2
mounir lazzez,0,2,0,1,3
mounir lazzez ,0,0,0,1,1
movsar evloev,0,0,0,4,4
movsar evloev ,0,0,0,5,5
muhammad mokaev,0,0,0,1,1
muhammad mokaev ,0,0,0,5,5
muhammad naimov,0,0,0,2,2
muhammad naimov ,0,1,0,0,1
muin gafurov,0,1,0,1,2
murilo bustamante,0,1,0,0,1
murilo bustamante ,0,0,0,3,3
muslim salikhov,0,3,0,6,9
muslim salikhov ,0,1,0,2,3
myktybek orolbai,0,0,0,2,2
myles jury,0,3,0,4,7
myles jury ,0,1,0,4,5
na liang ,0,1,0,0,1
nad narimani,0,2,0,1,3
nad narimani ,0,0,0,1,1
nadia kassem,0,1,0,1,2
nadia kassem ,0,1,0,0,1
nah-shon burrell,0,1,0,0,1
nah-shon burrell ,0,0,0,1,1
nam phan,0,3,0,2,5
nam phan ,0,3,0,0,3
nandor guelmino ,0,1,0,0,1
naoki inoue,0,1,0,0,1
naoki inoue ,0,0,0,1,1
naoyuki kotani,0,4,0,0,4
naoyuki kotani ,0,1,0,0,1
nasrat haqparast,0,4,0,3,7
nasrat haqparast ,0,0,0,6,6
nassourdine imavov,0,2,0,4,6
nassourdine imavov ,0,0,1,3,4
natalia silva,0,0,0,4,4
natalia silva ,0,0,0,2,2
natan levy,0,1,0,0,1
natan levy ,0,1,0,2,3
nate diaz,0,7,0,4,11
nate diaz ,0,4,0,12,16
nate landwehr,0,2,0,1,3
nate landwehr ,0,2,0,4,6
nate loughran,0,1,0,0,1
nate loughran ,0,0,0,1,1
nate maness,0,1,0,3,4
nate maness ,0,1,0,2,3
nate marquardt,0,8,0,3,11
nate marquardt ,0,4,0,10,14
nate mohr,0,3,0,0,3
nate mohr ,0,0,0,1,1
nate quarry,0,2,0,0,2
nate quarry ,0,1,0,7,8
nate schroeder,0,1,0,0,1
nathan coy,0,2,0,1,3
nathan fletcher,0,0,0,1,1
nathaniel wood,0,1,0,2,3
nathaniel wood ,0,1,0,6,7
navajo stirling ,0,0,0,1,1
nazareno malegarie,0,1,0,0,1
nazim sadykhov ,1,0,0,2,3
neil grove,0,1,0,0,1
neil magny,0,4,0,7,11
neil magny ,0,8,0,15,23
neil seery,0,3,0,0,3
neil seery ,0,1,0,3,4
neil wain,0,1,0,0,1
nicco montano,0,1,0,0,1
nicco montano ,0,0,0,1,1
nicholas musoke,0,1,0,2,3
nicholas musoke ,0,2,0,1,3
nick agallar,0,1,0,0,1
nick aguirre,0,2,0,0,2
nick catone,0,3,0,1,4
nick catone ,0,1,0,3,4
nick denis,0,1,0,1,2
nick diaz,0,5,1,1,7
nick diaz ,0,2,0,6,8
nick fiore,0,2,0,0,2
nick hein,0,2,0,0,2
nick hein ,0,2,0,4,6
nick maximov,0,0,0,2,2
nick maximov ,0,2,0,0,2
nick osipczak,0,1,0,0,1
nick osipczak ,0,2,0,2,4
nick pace,0,2,0,1,3
nick penner,0,1,0,0,1
nick penner ,0,1,0,0,1
nick ring,0,0,0,1,1
nick ring ,0,3,0,2,5
nick roehrick,0,1,0,0,1
nick sanzo,0,1,0,0,1
nick sanzo ,0,0,0,1,1
nick serra,0,1,0,0,1
nick thompson,0,1,0,0,1
nick thompson ,0,0,0,1,1
nicolae negumereanu,0,1,0,1,2
nicolae negumereanu ,0,1,0,3,4
nicolas dalby,0,3,0,5,8
nicolas dalby ,1,1,1,2,5
nik lentz,1,5,0,9,15
nik lentz ,0,4,1,5,10
nikita krylov,0,4,0,6,10
nikita krylov ,0,3,0,5,8
niklas backstrom,0,0,0,1,1
niklas backstrom ,0,2,0,0,2
niklas stolze,0,1,0,0,1
niklas stolze ,0,2,0,0,2
niko price,0,6,2,5,13
niko price ,0,2,0,3,5
nikolas motta,0,2,1,1,4
nikolas motta ,0,0,0,2,2
nikolay veretennikov,0,1,0,0,1
nina nunes,0,3,0,5,8
nina nunes ,0,1,0,0,1
nissen osterneck,0,1,0,0,1
noad lahat,0,1,0,2,3
noad lahat ,0,1,0,0,1
noe hernandez,0,1,0,0,1
nohelin hernandez,0,2,0,0,2
nolan ticman ,0,2,0,0,2
nora cornolle,0,0,0,1,1
nora cornolle ,0,1,0,1,2
nordine taleb,0,2,0,2,4
nordine taleb ,0,3,0,5,8
norifumi yamamoto,0,0,1,0,1
norifumi yamamoto ,0,3,0,0,3
norma dumont,0,2,0,5,7
norma dumont ,0,0,0,3,3
norman parke,1,1,0,1,3
norman parke ,0,2,0,4,6
nursulton ruziboev,0,1,0,1,2
nursulton ruziboev ,0,0,0,1,1
nurullo aliev,0,0,0,1,1
nyamjargal tumendemberel ,0,1,0,0,1
oban elliott,0,0,0,1,1
oban elliott ,0,0,0,2,2
ode osbourne,0,4,0,1,5
ode osbourne ,0,2,0,3,5
oleg taktarov,0,2,0,0,2
oleg taktarov ,0,0,0,6,6
oli thompson,0,1,0,0,1
oli thompson ,0,1,0,0,1
oliver enkamp,0,1,0,0,1
oliver enkamp ,0,1,0,0,1
olivier aubin-mercier,0,2,0,2,4
olivier aubin-mercier ,0,3,0,5,8
oluwale bamgbose,0,3,0,1,4
oluwale bamgbose ,0,1,0,0,1
omar morales,0,3,0,3,6
omar morales ,0,1,0,0,1
omari akhmedov,1,2,0,6,9
omari akhmedov ,0,3,0,3,6
onassis parungao ,0,0,0,1,1
orion cosce,0,1,0,0,1
orion cosce ,0,1,0,1,2
orlando wiet,0,1,0,0,1
orlando wiet ,0,0,0,1,1
oskar piechota,0,3,1,0,4
oskar piechota ,0,0,0,2,2
ottman azaitar,0,2,0,0,2
ottman azaitar ,0,1,0,2,3
oumar sy ,0,0,0,2,2
ovince saint preux,0,6,0,5,11
ovince saint preux ,0,7,0,10,17
ozzy diaz,0,1,0,0,1
pablo garza,0,3,0,3,6
paddy holohan ,0,2,0,3,5
paddy pimblett,0,0,0,2,2
paddy pimblett ,0,0,0,4,4
paige vanzant,0,2,0,1,3
paige vanzant ,0,2,0,4,6
pannie kianzad,0,3,0,4,7
pannie kianzad ,0,3,0,1,4
papy abedi,0,2,0,0,2
papy abedi ,0,1,0,1,2
parker porter,0,3,0,2,5
parker porter ,0,0,0,2,2
pascal krauss,0,1,0,1,2
pascal krauss ,0,1,0,1,2
pat audinwood,0,1,0,0,1
pat audinwood ,0,1,0,0,1
pat barry,0,3,0,0,3
pat barry ,0,4,0,5,9
pat healy,0,4,1,0,5
pat healy ,0,1,0,0,1
pat miletich,0,2,0,0,2
pat miletich ,0,0,0,8,8
pat sabatini,0,2,0,2,4
pat sabatini ,0,0,0,4,4
pat schilling,0,2,0,0,2
patrick cote,0,8,0,0,8
patrick cote ,0,3,0,10,13
patrick cummins,0,6,0,3,9
patrick cummins ,0,1,0,3,4
patrick smith,0,1,0,0,1
patrick smith ,0,0,0,4,4
patrick walsh,0,1,0,0,1
patrick walsh ,0,0,0,1,1
patrick williams,0,2,0,1,3
patrick williams ,0,1,0,0,1
paul bradley,0,2,0,0,2
paul buentello,0,3,0,0,3
paul buentello ,0,0,0,3,3
paul craig,1,6,0,5,12
paul craig ,0,3,0,4,7
paul creighton,0,1,0,0,1
paul daley,0,1,0,0,1
paul daley ,0,0,0,2,2
paul felder,0,3,0,7,10
paul felder ,0,3,0,2,5
paul georgieff,0,1,0,0,1
paul herrera,0,1,0,0,1
paul jones,0,1,0,0,1
paul jones ,0,0,0,1,1
paul kelly,0,3,0,0,3
paul kelly ,0,1,0,5,6
paul redmond,0,2,0,0,2
paul rodriguez,0,1,0,0,1
paul sass,0,0,0,2,2
paul sass ,0,2,0,1,3
paul taylor,0,5,0,0,5
paul taylor ,0,0,0,4,4
paul varelans,0,4,0,0,4
paul varelans ,0,0,0,4,4
paulo costa,0,3,0,4,7
paulo costa ,0,1,0,2,3
paulo santos,0,1,0,0,1
paulo thiago,0,3,0,0,3
paulo thiago ,0,5,0,5,10
pawel pawlak,0,2,0,0,2
pawel pawlak ,0,0,0,1,1
payton talbott ,0,0,0,3,3
pearl gonzalez,0,1,0,0,1
pearl gonzalez ,0,1,0,0,1
pedro falcao ,0,1,0,0,1
pedro munhoz,0,6,0,2,8
pedro munhoz ,0,4,2,8,14
pedro nobre,0,0,1,0,1
pedro rizzo,0,5,0,0,5
pedro rizzo ,0,0,0,9,9
peggy morgan,0,1,0,0,1
per eklund,0,2,0,0,2
per eklund ,0,0,0,1,1
pete rodriguez,0,2,0,1,3
pete sell,0,5,0,0,5
pete sell ,0,0,0,2,2
pete spratt,0,4,0,0,4
pete spratt ,0,0,0,3,3
pete williams,0,5,0,0,5
pete williams ,0,0,0,3,3
peter barrett,0,2,0,0,2
peter sobotta,0,6,0,0,6
peter sobotta ,0,0,0,4,4
petr yan,0,1,0,4,5
petr yan ,0,3,0,6,9
phil baroni,0,6,0,0,6
phil baroni ,0,1,0,3,4
phil davis,0,1,0,4,5
phil davis ,0,2,1,5,8
phil harris,0,2,0,0,2
phil harris ,0,1,1,1,3
phil hawes,0,0,0,1,1
phil hawes ,0,4,0,3,7
phil johns,0,1,0,0,1
phil rowe,0,2,0,2,4
phil rowe ,0,1,0,1,2
philip de fries,0,2,0,1,3
philip de fries ,0,1,0,1,2
philipe lins,0,1,0,3,4
philipe lins ,0,1,0,1,2
phillip miller ,0,0,0,2,2
