Fighter,wins,losses,draws,nc,total_matches
wagner prado,0,2,0,1,3
wagner silva,0,2,0,0,2
waldo cortes-acosta,4,1,0,0,5
walel watson,1,3,0,0,4
wallid ismail,0,1,0,0,1
walt harris,6,9,0,1,16
wanderlei silva,5,7,0,0,12
wang cong,1,1,0,0,2
wang guan,1,0,0,0,1
war machine,1,1,0,0,2
warlley alves,8,7,0,0,15
waylon lowe,2,2,0,0,4
wellington turman,3,6,0,0,9
wendell oliveira marques,0,2,0,0,2
wes albritton,0,1,0,0,1
wes combs,0,2,0,0,2
wes sims,0,3,0,0,3
wesley correira,2,2,0,0,4
westin wilson,1,2,0,0,3
will brooks,1,3,0,0,4
will campuzano,0,4,0,0,4
will chope,0,1,0,0,1
willamy freire,0,1,0,0,1
william gomis,4,0,0,0,4
william knight,3,4,0,0,7
william macario,1,3,0,0,4
willie gates,1,3,0,0,4
wilson gouveia,6,4,0,0,10
wilson reis,7,6,0,0,13
wu yanan,1,5,0,0,6
wuliji buren,0,3,0,0,3
xavier foupa-pokam,0,2,0,0,2
xiao long,1,1,0,0,2
yair rodriguez,10,4,0,1,15
yan cabral,2,3,0,0,5
yan xiaonan,9,3,0,0,12
yana kunitskaya,4,3,0,0,7
yana santos,1,2,0,0,3
yanal ashmouz,2,1,0,0,3
yancy medeiros,6,8,0,1,15
yanis ghemmouri,0,2,0,0,2
yao zhikui,1,3,0,0,4
yaotzin meza,2,4,0,1,7
yasuhiro urushitani,0,2,0,0,2
yazmin jauregui,3,2,0,0,5
yi zha,0,1,0,0,1
yizha,0,1,0,0,1
yoel romero,9,4,0,0,13
yohan lainesse,1,3,0,0,4
yoislandy izquierdo,0,2,0,0,2
yoji anjo,0,3,0,0,3
yorgan de castro,1,3,0,0,4
yosdenis cedeno,1,3,0,0,4
yoshihiro akiyama,2,5,0,0,7
yoshiki takahashi,1,0,0,0,1
yoshinori horie,0,1,0,0,1
yoshiyuki yoshida,2,3,0,0,5
youssef zalal,6,3,1,0,10
yui chul nam,1,2,0,0,3
yuki kondo,1,2,0,0,3
yuki sasaki,0,1,0,0,1
yuri vaulin,0,1,0,0,1
yuri villefort,0,2,0,0,2
yusaku kinoshita,0,1,0,0,1
yushin okami,14,7,0,0,21
yusuke kasuya,0,2,0,0,2
yuta sasaki,4,5,0,0,9
yves edwards,10,10,0,1,21
yves jabouin,5,5,0,0,10
zabit magomedsharipov,6,0,0,0,6
zac pauga,1,3,0,0,4
zach light,0,1,0,0,1
zach makovsky,3,4,0,0,7
zach reese,1,1,0,0,2
zachary reese,1,0,0,0,1
zachary scroggin,0,1,0,0,1
zak cummings,10,4,0,0,14
zak ottow,4,4,0,0,8
zane frazier,0,1,0,0,1
zarah fairn,0,4,0,0,4
zarrukh adashev,1,3,0,0,4
zelim imadaev,0,3,0,0,3
zhalgas zhumagulov,1,6,0,0,7
zhang lipeng,2,2,0,0,4
zhang mingyang,2,0,0,0,2
zhang tiequan,1,3,0,0,4
zhang weili,9,2,0,0,11
zubaira tukhugov,5,3,1,0,9
zviad lazishvili,0,1,0,0,1
zygimantas ramaska,0,1,0,0,1
